Metro Line,Station Name,Is Interchange
purple_line,Challaghatta,
purple_line,Kengeri,
purple_line,Kengeri Bus Terminal,
purple_line,Pattanagere,
purple_line,Jnanabharathi,
purple_line,Rajarajeshwari Nagar,
purple_line,Pantharapalya - Nayandahalli,
purple_line,Mysuru Road,
purple_line,Deepanjali Nagar,
purple_line,Attiguppe,
purple_line,Vijayanagar,
purple_line,"Sri Balagangadharanatha Swamiji Stn., Hosahalli",
purple_line,Magadi Road,
purple_line,Krantiveera Sangolli Rayanna Railway Station,
purple_line,"Nadaprabhu Kempegowda Stn., Majestic",
purple_line,Sir M. Visveshwaraya,
purple_line,Vidhana Soudha,
purple_line,Cubbon Park,
purple_line,Mahatma Gandhi Road,
purple_line,Trinity,
purple_line,Halasuru,
purple_line,Indiranagar,
purple_line,Swami Vivekananda Road,
purple_line,Baiyappanahalli,
purple_line,Benniganahalli,
purple_line,Krishnarajapura,
purple_line,Singayyanapalya,
purple_line,Garudacharapalya,
purple_line,Hoodi,
purple_line,Seetharamapalya,
purple_line,Kundalahalli,
purple_line,Nallurhalli,
purple_line,Sri Sathya Sai Hospital,
purple_line,Pattandur Agrahara,
purple_line,Kadugodi Tree Park,
purple_line,Hopefarm Channasandra,
purple_line,Whitefield (Kadugodi),
green_line,Silk Institute,
green_line,Thalaghattapura,
green_line,Vajarahalli,
green_line,Doddakallasandra,
green_line,Konankunte Cross,
green_line,Yelachenahalli,
green_line,Jaya Prakash Nagar,
green_line,Banashankari,
green_line,Rashtreeya Vidyalaya Road,
green_line,Jayanagar,
green_line,South End Circle,
green_line,Lalbagh,
green_line,National College,
green_line,Krishna Rajendra Market,
green_line,Chickpete,
green_line,"Nadaprabhu Kempegowda Stn., Majestic",
green_line,Sampige Road,
green_line,Srirampura,
green_line,Kuvempu Road,
green_line,Rajajinagar,
green_line,Mahalakshmi,
green_line,Sandal Soap Factory,
green_line,Yeshwanthpur,
green_line,Goraguntepalya,
green_line,Peenya,
green_line,Peenya Industry,
green_line,Jalahalli,
green_line,Dasarahalli,
green_line,Nagasandra,
green_line,Manjunath Nagar,
green_line,Chikkabidarakallu,
green_line,Madavara,
blue_line,KIAL Terminals (TBC),
blue_line,Airport City (TBC),
blue_line,Doddajala (TBC),
blue_line,Bettahalasuru (TBC),
blue_line,Bagalur Cross (TBC),
blue_line,Yelahanka (TBC),
blue_line,Jakkur Cross (TBC),
blue_line,Kodigehalli (TBC),
blue_line,Hebbala (TBC),
blue_line,Kempapura (TBC),
blue_line,Veerannapalya (TBC),
blue_line,Nagawara (TBC),
blue_line,HBR Layout (TBC),
blue_line,Kalyan Nagar (TBC),
blue_line,HRBR Layout (TBC),
blue_line,Horamavu (TBC),
blue_line,Kasturinagara (TBC),
blue_line,Krishnarajapura,
blue_line,Saraswathi Nagar (TBC),
blue_line,DRDO Sports Complex (TBC),
blue_line,Doddanekundi (TBC),
blue_line,ISRO (TBC),
blue_line,Marathahalli (TBC),
blue_line,Kodibeesanahalli (TBC),
blue_line,Kadubeesanahalli (TBC),
blue_line,Bellandur (TBC),
blue_line,Ibbaluru (TBC),
blue_line,Agara (TBC),
blue_line,HSR Layout (TBC),
blue_line,Central Silk Board (TBC),
yellow_line,Rashtreeya Vidyalaya Road,
yellow_line,Ragigudda (TBC),
yellow_line,Jayadeva Hospital (TBC),
yellow_line,BTM Layout (TBC),
yellow_line,Central Silk Board (TBC),
yellow_line,Bommanahalli (TBC),
yellow_line,Hongasandra (TBC),
yellow_line,Kudlu Gate (TBC),
yellow_line,Singasandra (TBC),
yellow_line,Hosa Road (TBC),
yellow_line,Beratena Agrahara (TBC),
yellow_line,Konappana Agrahara (TBC),
yellow_line,Electronic City (TBC),
yellow_line,Huskur Road (TBC),
yellow_line,Hebbagodi (TBC),
yellow_line,Bommasandra (TBC),
pink_line,Kalena Agrahara (TBC),
pink_line,Hulimavu (TBC),
pink_line,IIMB (TBC),
pink_line,JP Nagar 4th Phase (TBC),
pink_line,Jayadeva Hospital (TBC),
pink_line,Tavarekere (TBC),
pink_line,Dairy Circle (TBC),
pink_line,Lakkasandra (TBC),
pink_line,Langford Town (TBC),
pink_line,National Military School (TBC),
pink_line,Mahatma Gandhi Road,
pink_line,Shivajinagar (TBC),
pink_line,Cantonment Railway Station (TBC),
pink_line,Pottery Town (TBC),
pink_line,Tannery Road (TBC),
pink_line,Venkateshpura (TBC),
pink_line,Kadugundanahalli (TBC),
pink_line,Nagawara (TBC),
orange_line,JP Nagar 4th Phase (TBC),
orange_line,JP Nagar 5th Phase (TBC),
orange_line,Jaya Prakash Nagar,
orange_line,Kadirenahalli Cross (TBC),
orange_line,Kamakya Bus Depot (TBC),
orange_line,Hosakerehalli Cross (TBC),
orange_line,PES Institute of Technology (TBC),
orange_line,Mysuru Road,
orange_line,Nagarabhavi Circle (TBC),
orange_line,Vinayaka Layout (TBC),
orange_line,Dr. Ambedkar Institute of Technology (TBC),
orange_line,Nagarbhavi BDA Complex (TBC),
orange_line,Sumanahalli Cross (TBC),
orange_line,Chowdeshwari Nagara (TBC),
orange_line,Freedom Fighters Cross (TBC),
orange_line,Kanteerava Studio (TBC),
orange_line,Peenya,
orange_line,Bahubali Nagara (TBC),
orange_line,BEL Circle (TBC),
orange_line,Patelappa Layout (TBC),
orange_line,Hebbala (TBC),
orange_line,Kempapura (TBC),
grey_line,"Sri Balagangadharanatha Swamiji Stn., Hosahalli",
grey_line,KHB Colony (TBC),
grey_line,Vinayaka Nagara (TBC),
grey_line,Sumanahalli Cross (TBC),
grey_line,Sunkadakatte (TBC),
grey_line,Herohalli (TBC),
grey_line,Byadarahalli (TBC),
grey_line,Forest Gate (TBC),
grey_line,Kadabagere (TBC),
purple_line,"Nadaprabhu Kempegowda Stn., Majestic",True
green_line,"Nadaprabhu Kempegowda Stn., Majestic",True
purple_line,Chickpete,True
green_line,Chickpete,True
purple_line,Mahatma Gandhi Road,True
pink_line,Mahatma Gandhi Road,True
purple_line,Krishnarajapura,True
blue_line,Krishnarajapura,True
blue_line,Central Silk Board (TBC),True
yellow_line,Central Silk Board (TBC),True
blue_line,Nagawara (TBC),True
pink_line,Nagawara (TBC),True
blue_line,Kempapura (TBC),True
orange_line,Kempapura (TBC),True
yellow_line,Jayadeva Hospital (TBC),True
pink_line,Jayadeva Hospital (TBC),True
green_line,Rashtreeya Vidyalaya Road,True
yellow_line,Rashtreeya Vidyalaya Road,True
pink_line,JP Nagar 4th Phase (TBC),True
orange_line,JP Nagar 4th Phase (TBC),True
green_line,Jaya Prakash Nagar,True
orange_line,Jaya Prakash Nagar,True
purple_line,Mysuru Road,True
orange_line,Mysuru Road,True
green_line,Peenya,True
orange_line,Peenya,True
purple_line,"Sri Balagangadharanatha Swamiji Stn., Hosahalli",True
grey_line,"Sri Balagangadharanatha Swamiji Stn., Hosahalli",True
orange_line,Sumanahalli Cross (TBC),True
grey_line,Sumanahalli Cross (TBC),True
